timestamp_utc,funding_rate,funding_rate_pct,mark_price
2025-09-01T00:00:00+00:00,0.00054663,0.054662999999999996,1.2069
2025-09-01T01:00:00+00:00,0.0001324,0.01324,1.20674761
2025-09-01T02:00:00+00:00,0.00015014,0.015014,1.2131
2025-09-01T03:00:00.005000+00:00,0.00027638,0.027638,1.1977
2025-09-01T04:00:00.005000+00:00,8.454e-05,0.008454,1.1905456
2025-09-01T05:00:00.011000+00:00,2.742e-05,0.0027419999999999996,1.17007726
2025-09-01T06:00:00.006000+00:00,1.25e-05,0.00125,1.1718471
2025-09-01T07:00:00+00:00,1.25e-05,0.00125,1.14422518
2025-09-01T08:00:00+00:00,0.00012502,0.012502,1.1586
2025-09-01T09:00:00.005000+00:00,1.25e-05,0.00125,1.15641897
2025-09-01T10:00:00.005000+00:00,0.00019039,0.019039,1.14548206
2025-09-01T11:00:00.006000+00:00,0.00013139,0.013139,1.14344573
2025-09-01T12:00:00.014000+00:00,0.00023133,0.023133,1.1364
2025-09-01T13:00:00+00:00,0.00040256,0.040256,1.13606965
2025-09-01T14:00:00+00:00,0.00013809,0.013809,1.1210172
2025-09-01T15:00:00+00:00,5.698e-05,0.005698,1.09782616
2025-09-01T16:00:00.001000+00:00,1.868e-05,0.001868,1.0861
2025-09-01T17:00:00+00:00,0.00022179,0.022179,1.0837861
2025-09-01T18:00:00.001000+00:00,4.63e-05,0.0046300000000000004,1.076
2025-09-01T19:00:00+00:00,1.25e-05,0.00125,1.0626
2025-09-01T20:00:00.008000+00:00,5.999e-05,0.005999,1.05224555
2025-09-01T21:00:00.001000+00:00,0.00017624,0.017624,1.04253816
2025-09-01T22:00:00+00:00,0.00033966,0.033965999999999996,1.03568953
2025-09-01T23:00:00+00:00,0.00025614,0.025614,1.0309
2025-09-02T00:00:00+00:00,1.25e-05,0.00125,1.01885209
2025-09-02T01:00:00+00:00,1.25e-05,0.00125,1.03407123
2025-09-02T02:00:00+00:00,0.00010523,0.010523,1.03074428
2025-09-02T03:00:00.003000+00:00,4.768e-05,0.004768,1.04008401
2025-09-02T04:00:00.009000+00:00,4.824e-05,0.004824,1.03023089
2025-09-02T05:00:00+00:00,3.649e-05,0.003649,1.0363
2025-09-02T06:00:00.001000+00:00,0.00019608,0.019608,1.02197705
2025-09-02T07:00:00+00:00,0.00025074,0.025074,1.01712923
2025-09-02T08:00:00.005000+00:00,0.00021485,0.021485,1.01886483
2025-09-02T09:00:00.001000+00:00,1.25e-05,0.00125,0.99180755
2025-09-02T10:00:00.008000+00:00,0.00013483,0.013483,0.99575108
2025-09-02T11:00:00+00:00,0.0004277,0.042769999999999996,0.9859
2025-09-02T12:00:00.003000+00:00,0.00039312,0.039312,1.10361047
2025-09-02T13:00:00+00:00,0.00028227,0.028227,1.14632681
2025-09-02T14:00:00.005000+00:00,0.00040751,0.040750999999999996,1.1703
2025-09-02T15:00:00.006000+00:00,0.00048455,0.048455,1.1831
2025-09-02T16:00:00.007000+00:00,0.00015952,0.015951999999999997,1.18840008
2025-09-02T17:00:00+00:00,0.00030539,0.030539,1.19113394
2025-09-02T18:00:00+00:00,0.00031965,0.031965,1.1939
2025-09-02T19:00:00+00:00,0.00029781,0.029781000000000002,1.2022
2025-09-02T20:00:00.001000+00:00,1.25e-05,0.00125,1.1999
2025-09-02T21:00:00.004000+00:00,4.453e-05,0.004453,1.2032107
2025-09-02T22:00:00+00:00,0.00016812,0.016812,1.2032
2025-09-02T23:00:00+00:00,0.00015802,0.015802,1.204
2025-09-03T00:00:00.006000+00:00,9.622e-05,0.009622,1.20438386
2025-09-03T01:00:00.005000+00:00,2.104e-05,0.002104,1.20337741
2025-09-03T02:00:00.003000+00:00,0.00017373,0.017373,1.20245973
2025-09-03T03:00:00.003000+00:00,1.25e-05,0.00125,1.2045
2025-09-03T04:00:00.003000+00:00,1.25e-05,0.00125,1.194
2025-09-03T05:00:00.002000+00:00,0.00031456,0.031456000000000005,1.19964779
2025-09-03T06:00:00+00:00,0.00018156,0.018156,1.2296
2025-09-03T07:00:00.001000+00:00,1.25e-05,0.00125,1.15524239
2025-09-03T08:00:00.002000+00:00,1.645e-05,0.001645,1.18586971
2025-09-03T09:00:00.002000+00:00,8.258e-05,0.008258,1.1806
2025-09-03T10:00:00.009000+00:00,1.25e-05,0.00125,1.18793441
2025-09-03T11:00:00.004000+00:00,6.882e-05,0.006881999999999999,1.1753
2025-09-03T12:00:00+00:00,0.0001727,0.01727,1.1602
2025-09-03T13:00:00.008000+00:00,0.00031553,0.031553,1.1495
2025-09-03T14:00:00.005000+00:00,0.00031255,0.031255,1.15257825
2025-09-03T15:00:00.011000+00:00,0.00036235,0.036235,1.1322656
2025-09-03T16:00:00.002000+00:00,0.00054717,0.054717,1.17183261
2025-09-03T17:00:00+00:00,0.00042392,0.042392,1.1696
2025-09-03T18:00:00.006000+00:00,1.25e-05,0.00125,1.17444828
2025-09-03T19:00:00.001000+00:00,0.00035598,0.035598,1.1603
2025-09-03T20:00:00.006000+00:00,0.0006394,0.06394,1.1466
2025-09-03T21:00:00+00:00,0.00041424,0.041424,1.147
2025-09-03T22:00:00+00:00,0.00020624,0.020624,1.146
2025-09-03T23:00:00+00:00,0.00021968,0.021968,1.1427
2025-09-04T00:00:00.002000+00:00,0.00043914,0.043913999999999995,1.13346295
2025-09-04T01:00:00.004000+00:00,0.00054204,0.054204,1.1251
2025-09-04T02:00:00+00:00,0.00026755,0.026755,1.12272342
2025-09-04T03:00:00+00:00,0.00014692,0.014692,1.11683469
2025-09-04T04:00:00+00:00,0.00016892,0.016892,1.10873005
2025-09-04T05:00:00+00:00,0.00010077,0.010077,1.10108066
2025-09-04T06:00:00.003000+00:00,1.25e-05,0.00125,1.0955
2025-09-04T07:00:00+00:00,0.00033539,0.033539,1.1607
2025-09-04T08:00:00+00:00,0.00014893,0.014893,1.1784
2025-09-04T09:00:00+00:00,1.25e-05,0.00125,1.14064821
2025-09-04T10:00:00+00:00,0.00025679,0.025679,1.12744665
2025-09-04T11:00:00.001000+00:00,0.00030479,0.030479,1.12964146
2025-09-04T12:00:00.002000+00:00,0.00011682,0.011682,1.1274
2025-09-04T13:00:00.001000+00:00,0.00013368,0.013368000000000001,1.13560819
2025-09-04T14:00:00.001000+00:00,7.812e-05,0.007812,1.14549444
2025-09-04T15:00:00.005000+00:00,0.00044332,0.044331999999999996,1.15131283
2025-09-04T16:00:00+00:00,0.00021828,0.021828,1.158
2025-09-04T17:00:00.005000+00:00,1.25e-05,0.00125,1.1512
2025-09-04T18:00:00.003000+00:00,0.00026046,0.026046,1.1428233
2025-09-04T19:00:00.002000+00:00,0.00019004,0.019004,1.1442
2025-09-04T20:00:00+00:00,0.00052401,0.052400999999999996,1.1364
2025-09-04T21:00:00.004000+00:00,0.00064027,0.064027,1.13829712
2025-09-04T22:00:00+00:00,0.00086151,0.086151,1.13407261
2025-09-04T23:00:00.003000+00:00,0.0003938,0.03938,1.137
2025-09-05T00:00:00.001000+00:00,0.00022653,0.022653,1.1432
2025-09-05T01:00:00+00:00,0.00024487,0.024487000000000002,1.1405
2025-09-05T02:00:00.008000+00:00,0.00031656,0.031656000000000004,1.14299505
2025-09-05T03:00:00.004000+00:00,1.25e-05,0.00125,1.15870052
2025-09-05T04:00:00+00:00,6.938e-05,0.006938000000000001,1.15540081
2025-09-05T05:00:00.008000+00:00,8.735e-05,0.008735,1.16371711
2025-09-05T06:00:00.004000+00:00,0.00044488,0.044488,1.1777
2025-09-05T07:00:00.004000+00:00,0.00026529,0.026529,1.21244989
2025-09-05T08:00:00.006000+00:00,0.00037384,0.037384,1.1903
2025-09-05T09:00:00.009000+00:00,0.00038741,0.038741,1.2042
2025-09-05T10:00:00.001000+00:00,0.00058849,0.058849,1.2295
2025-09-05T11:00:00+00:00,0.0007781,0.07781,1.23889592
2025-09-05T12:00:00.001000+00:00,0.00074688,0.074688,1.2264
2025-09-05T13:00:00+00:00,0.00036971,0.036971,1.23280336
2025-09-05T14:00:00.009000+00:00,5.608e-05,0.005608,1.23206593
2025-09-05T15:00:00.007000+00:00,0.00035512,0.035512,1.26834888
2025-09-05T16:00:00+00:00,1.25e-05,0.00125,1.25046922
2025-09-05T17:00:00.003000+00:00,1.25e-05,0.00125,1.24
2025-09-05T18:00:00.009000+00:00,0.00017675,0.017675,1.2301
2025-09-05T19:00:00.007000+00:00,0.00021625,0.021625,1.2299
2025-09-05T20:00:00+00:00,9.892e-05,0.009892,1.21379126
2025-09-05T21:00:00.007000+00:00,1.25e-05,0.00125,1.21853996
2025-09-05T22:00:00.002000+00:00,7.562e-05,0.007562,1.22469603
2025-09-05T23:00:00.001000+00:00,4.053e-05,0.004053,1.15988227
2025-09-06T00:00:00+00:00,0.00024543,0.024543,1.1571
2025-09-06T01:00:00.001000+00:00,0.00152687,0.15268700000000002,1.19578201
2025-09-06T02:00:00.002000+00:00,0.00031287,0.031286999999999995,1.24173681
2025-09-06T03:00:00.006000+00:00,8.597e-05,0.008597,1.23550466
2025-09-06T04:00:00+00:00,1.25e-05,0.00125,1.23265869
2025-09-06T05:00:00+00:00,1.25e-05,0.00125,1.23498696
2025-09-06T06:00:00+00:00,0.00018998,0.018998,1.2405011
2025-09-06T07:00:00.001000+00:00,0.00042958,0.042957999999999996,1.24809691
2025-09-06T08:00:00.005000+00:00,0.00062329,0.062328999999999996,1.2483
2025-09-06T09:00:00.004000+00:00,0.00046128,0.046128,1.255
2025-09-06T10:00:00.006000+00:00,0.0002795,0.027950000000000003,1.25018892
2025-09-06T11:00:00.004000+00:00,0.00015139,0.015139,1.25255767
2025-09-06T12:00:00+00:00,1.25e-05,0.00125,1.2489
2025-09-06T13:00:00.001000+00:00,0.00014192,0.014192,1.25643293
2025-09-06T14:00:00+00:00,7.125e-05,0.007124999999999999,1.237
2025-09-06T15:00:00.001000+00:00,0.000275,0.0275,1.24526822
2025-09-06T16:00:00+00:00,0.0004017,0.04017,1.269
2025-09-06T17:00:00+00:00,0.00052919,0.052919,1.302
2025-09-06T18:00:00.009000+00:00,0.00024697,0.024697,1.2982057
2025-09-06T19:00:00.003000+00:00,0.00040091,0.040091,1.30025267
2025-09-06T20:00:00.001000+00:00,0.00055174,0.055174,1.29004431
2025-09-06T21:00:00+00:00,0.00083544,0.08354400000000001,1.2999
2025-09-06T22:00:00+00:00,0.00057166,0.057166,1.29725041
2025-09-06T23:00:00+00:00,0.00078135,0.078135,1.29702059
2025-09-07T00:00:00+00:00,0.00077844,0.077844,1.3077
2025-09-07T01:00:00+00:00,0.00030276,0.030276,1.299
2025-09-07T02:00:00.001000+00:00,0.00037905,0.037905,1.3029
2025-09-07T03:00:00+00:00,0.00036775,0.036775,1.3354
2025-09-07T04:00:00.008000+00:00,0.00034421,0.034421,1.4207
2025-09-07T05:00:00+00:00,0.00031745,0.031745,1.48226031
2025-09-07T06:00:00.005000+00:00,0.0001495,0.01495,1.53652179
2025-09-07T07:00:00.001000+00:00,0.00018898,0.018897999999999998,1.58561503
2025-09-07T08:00:00+00:00,0.00045201,0.045201,1.61733178
2025-09-07T09:00:00+00:00,0.0001427,0.01427,1.65111798
2025-09-07T10:00:00.001000+00:00,0.00034374,0.034374,1.6911
2025-09-07T11:00:00.004000+00:00,0.0005399,0.053989999999999996,1.7994
2025-09-07T12:00:00+00:00,0.00123283,0.123283,1.87410065
2025-09-07T13:00:00+00:00,0.00014821,0.014820999999999999,2.0572598
2025-09-07T14:00:00.006000+00:00,1.25e-05,0.00125,2.35275603
2025-09-07T15:00:00+00:00,-0.00111103,-0.11110300000000001,2.74016549
2025-09-07T16:00:00+00:00,-0.00060869,-0.06086899999999999,2.772
2025-09-07T17:00:00.003000+00:00,1.25e-05,0.00125,2.90184647
2025-09-07T18:00:00+00:00,0.00028434,0.028434,2.86169988
2025-09-07T19:00:00.007000+00:00,0.00031694,0.031694,3.06979419
2025-09-07T20:00:00.003000+00:00,0.00019175,0.019175,3.47832323
2025-09-07T21:00:00+00:00,0.0005031,0.05031,3.4862
2025-09-07T22:00:00+00:00,0.00038086,0.038086,3.5908
2025-09-07T23:00:00.002000+00:00,0.00036983,0.036982999999999995,3.57781372
2025-09-08T00:00:00.007000+00:00,0.00027739,0.027739000000000003,3.48140734
2025-09-08T01:00:00.012000+00:00,4.611e-05,0.004611,3.6680865
2025-09-08T02:00:00.001000+00:00,0.00025549,0.025549,3.64602914
2025-09-08T03:00:00.004000+00:00,1.25e-05,0.00125,3.56960544
2025-09-08T04:00:00.008000+00:00,1.25e-05,0.00125,3.62275419
2025-09-08T05:00:00+00:00,1.25e-05,0.00125,3.63834385
2025-09-08T06:00:00.001000+00:00,1.25e-05,0.00125,3.6723
2025-09-08T07:00:00.001000+00:00,1.25e-05,0.00125,3.7525
2025-09-08T08:00:00+00:00,-0.00068113,-0.06811299999999999,4.15426747
2025-09-08T09:00:00.006000+00:00,-3.948e-05,-0.003948,4.3824886
2025-09-08T10:00:00.001000+00:00,-0.00058188,-0.058188000000000004,4.4965
2025-09-08T11:00:00+00:00,0.00023204,0.023204000000000002,6.2817
2025-09-08T12:00:00.005000+00:00,0.00050222,0.050222,6.8010038
2025-09-08T13:00:00.008000+00:00,0.00058218,0.058218,6.6021
2025-09-08T14:00:00.002000+00:00,0.00016337,0.016337,6.8555
2025-09-08T15:00:00+00:00,0.00014132,0.014132,7.29761751
2025-09-08T16:00:00+00:00,0.0004772,0.04772,7.99475444
2025-09-08T17:00:00.003000+00:00,-0.00010348,-0.010348000000000001,9.81232707
2025-09-08T18:00:00.004000+00:00,-8.426e-05,-0.008426,9.93263899
2025-09-08T19:00:00.006000+00:00,-0.00196763,-0.19676300000000002,11.02718962
2025-09-08T20:00:00.001000+00:00,-0.0173228,-1.7322799999999998,13.8577
2025-09-08T21:00:00+00:00,-0.00272996,-0.272996,11.0028
2025-09-08T22:00:00.003000+00:00,-0.00228493,-0.228493,12.15408147
2025-09-08T23:00:00.008000+00:00,-0.00372271,-0.372271,13.5868
2025-09-09T00:00:00+00:00,-0.00408996,-0.408996,13.87911181
2025-09-09T01:00:00+00:00,-0.00237123,-0.23712300000000003,14.2349
2025-09-09T02:00:00+00:00,-0.00137722,-0.13772199999999998,13.57114923
2025-09-09T03:00:00.002000+00:00,1.25e-05,0.00125,12.56526139
2025-09-09T04:00:00+00:00,1.25e-05,0.00125,12.97217701
2025-09-09T05:00:00+00:00,1.25e-05,0.00125,12.7363744
2025-09-09T06:00:00.009000+00:00,0.00011319,0.011319000000000001,13.06643387
2025-09-09T07:00:00.005000+00:00,-0.00106978,-0.106978,13.91870066
2025-09-09T08:00:00+00:00,-0.0033121,-0.33121,15.9310164
2025-09-09T09:00:00+00:00,-0.00692777,-0.692777,16.83166704
2025-09-09T10:00:00.002000+00:00,-0.00902223,-0.9022229999999999,17.10237566
2025-09-09T11:00:00.002000+00:00,-0.01231801,-1.2318010000000001,17.6597
2025-09-09T12:00:00.004000+00:00,-0.00737971,-0.737971,17.296193
2025-09-09T13:00:00+00:00,-0.00019444,-0.019444,14.87844639
2025-09-09T14:00:00.007000+00:00,-2.184e-05,-0.002184,13.94114208
2025-09-09T15:00:00.001000+00:00,-0.00602354,-0.602354,16.7827
2025-09-09T16:00:00+00:00,-0.01488997,-1.4889970000000001,17.64403841
2025-09-09T17:00:00.001000+00:00,-0.01571248,-1.5712480000000002,17.60749589
2025-09-09T18:00:00.004000+00:00,-0.02,-2.0,17.9318
2025-09-09T19:00:00.001000+00:00,-0.02,-2.0,18.127
2025-09-09T20:00:00+00:00,-0.01583848,-1.583848,16.07851101
2025-09-09T21:00:00.005000+00:00,-0.01594204,-1.5942040000000002,16.30062992
2025-09-09T22:00:00.001000+00:00,-0.00905655,-0.905655,15.7
2025-09-09T23:00:00.003000+00:00,-0.00140908,-0.140908,14.98084889
2025-09-10T00:00:00+00:00,-0.0030533,-0.30533,14.494
2025-09-10T01:00:00.001000+00:00,-0.00085953,-0.085953,14.76920666
2025-09-10T02:00:00+00:00,-0.00032063,-0.032063,15.1944
2025-09-10T03:00:00+00:00,1.25e-05,0.00125,15.60505393
2025-09-10T04:00:00.001000+00:00,-0.00100934,-0.10093400000000001,14.5166
2025-09-10T05:00:00.008000+00:00,-0.0001906,-0.01906,17.12572684
2025-09-10T06:00:00.007000+00:00,-0.00823415,-0.8234150000000001,17.8247
2025-09-10T07:00:00+00:00,-0.01354839,-1.3548390000000001,17.668
2025-09-10T08:00:00.002000+00:00,-0.0133239,-1.33239,17.9304
2025-09-10T09:00:00+00:00,-0.01061812,-1.061812,17.80946661
2025-09-10T10:00:00.004000+00:00,-0.01572877,-1.5728769999999999,18.0321302
2025-09-10T11:00:00+00:00,-0.01507583,-1.5075830000000001,17.57320918
2025-09-10T12:00:00.004000+00:00,-0.00895229,-0.8952289999999999,16.75572699
2025-09-10T13:00:00.008000+00:00,-0.00776583,-0.7765829999999999,17.32556485
2025-09-10T14:00:00.006000+00:00,-0.00695474,-0.695474,16.97850614
2025-09-10T15:00:00+00:00,-0.00471213,-0.471213,16.574
2025-09-10T16:00:00+00:00,-0.00415899,-0.415899,16.702
2025-09-10T17:00:00+00:00,-0.00261279,-0.261279,16.203
2025-09-10T18:00:00.003000+00:00,-0.00079813,-0.079813,15.818
2025-09-10T19:00:00+00:00,-0.00039672,-0.039672,16.10542745
2025-09-10T20:00:00.007000+00:00,-0.00088424,-0.088424,16.09733122
2025-09-10T21:00:00.001000+00:00,-0.00152887,-0.15288700000000002,15.62906082
2025-09-10T22:00:00+00:00,-5.818e-05,-0.005818,16.7148841
2025-09-10T23:00:00.001000+00:00,-0.00026108,-0.026108000000000003,16.585
2025-09-11T00:00:00+00:00,-0.00066738,-0.06673799999999999,16.602
2025-09-11T01:00:00+00:00,-0.00094456,-0.094456,16.31
2025-09-11T02:00:00+00:00,-0.00228842,-0.22884200000000002,17.808
2025-09-11T03:00:00.002000+00:00,-0.00915554,-0.915554,18.36160615
2025-09-11T04:00:00.003000+00:00,-0.02,-2.0,18.275
2025-09-11T05:00:00+00:00,-0.01777293,-1.777293,17.80147502
2025-09-11T06:00:00+00:00,-0.01188052,-1.188052,17.34897767
2025-09-11T07:00:00.015000+00:00,-0.00894689,-0.8946890000000001,17.623
2025-09-11T08:00:00+00:00,-0.00352074,-0.352074,17.22445917
2025-09-11T09:00:00+00:00,-0.00394821,-0.394821,17.86656907
2025-09-11T10:00:00+00:00,-0.01667726,-1.667726,18.282
2025-09-11T11:00:00.001000+00:00,-0.00590383,-0.590383,17.33686085
2025-09-11T12:00:00.005000+00:00,-0.00402375,-0.40237500000000004,16.66727731
2025-09-11T13:00:00.003000+00:00,-0.00337054,-0.337054,15.95881005
2025-09-11T14:00:00.002000+00:00,-0.00174893,-0.17489300000000002,16.01109105
2025-09-11T15:00:00.001000+00:00,-0.00042586,-0.042586,15.78363638
2025-09-11T16:00:00.001000+00:00,-0.00043689,-0.043689,13.692
2025-09-11T17:00:00.001000+00:00,-0.00063725,-0.063725,13.48513468
2025-09-11T18:00:00+00:00,1.25e-05,0.00125,12.67304385
2025-09-11T19:00:00.005000+00:00,1.25e-05,0.00125,12.851
2025-09-11T20:00:00.001000+00:00,1.25e-05,0.00125,13.13916079
2025-09-11T21:00:00.002000+00:00,1.25e-05,0.00125,12.41493324
2025-09-11T22:00:00.002000+00:00,1.25e-05,0.00125,12.97912274
2025-09-11T23:00:00.003000+00:00,1.25e-05,0.00125,12.50144695
