pair,date,url,sha256
BOMEUSDT,2026-06-07,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-07.zip,3a3836ce25f7a3fbf89a91d59dcaf55eb81f72e5c2fe11ec85dfc83bcdb5228f
BOMEUSDT,2026-06-08,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-08.zip,230115f2d46a15adb08adacf1edd76b1efd6bc6889d334f7f8904cf16610a3d2
BOMEUSDT,2026-06-09,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-09.zip,4f7f9ccf0f6c5bc6e4f0b62c2bd68c3239d038a687453af388ea51ecd942fe3a
BOMEUSDT,2026-06-10,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-10.zip,da3b2576e5ef1328c5af979179fb0b6a4f41cee946a307f650343666162b53f4
BOMEUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-11.zip,1602083b8f8086313a574728d2360a759dd99a4ab1dbc52d8143ff6dd68e620c
BOMEUSDT,2026-06-12,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-12.zip,75fc359147a237133af7d98acd9e7e89f85d0f314a3359e6a549459808b85470
BOMEUSDT,2026-06-13,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDT/BOMEUSDT-aggTrades-2026-06-13.zip,fdfe35bc79dde6b27f4331c980345ca4edd64e3c09187c0b2097f4a695bc4206
BOMEUSDC,2026-06-07,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-07.zip,c27aedb422bf00c25f0c776213b190fbb1d720a8de7ba7a0bad91438884e3f6d
BOMEUSDC,2026-06-08,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-08.zip,d5c50ceafa956a1e2b4941957c9e6d915c02850ccb2ce1bed5a5662136b808e4
BOMEUSDC,2026-06-09,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-09.zip,da9cfceb907d4e61a8817d1e519bf844564ff3aa58d0b9a12a9e804b49f5d166
BOMEUSDC,2026-06-10,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-10.zip,e049e55e8bbde0207764ef6e8c2444fbc159aec4762d1fae96a4152db3b81430
BOMEUSDC,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-11.zip,e24a614d8867abd95f2984aadb6e90513c79a31c310ee718cc54121387631fc9
BOMEUSDC,2026-06-12,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-12.zip,c45fc91a59bb6041bfc1b354b8b1b19be8a9ec4e5722ab93bd7ae9d9d1f57d93
BOMEUSDC,2026-06-13,https://data.binance.vision/data/spot/daily/aggTrades/BOMEUSDC/BOMEUSDC-aggTrades-2026-06-13.zip,fc4aa70c0761ba86fad4646eb3f039e413b0c7e90e45eaac924b1b836995b366
NEIROUSDT,2026-06-07,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-07.zip,017051e9b38965781fd6b8bc3eda4f51d61fbfb3980bae8f9d5c752bb5455ebf
NEIROUSDT,2026-06-08,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-08.zip,4b18c0a1c462746d4b001edbb5d210d63df4e72380599d74f59bcbe96b24c9bf
NEIROUSDT,2026-06-09,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-09.zip,f3843302358d36a4d062deca63c72fc179f4aa1342d7c8faca21cc65b800485d
NEIROUSDT,2026-06-10,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-10.zip,b733e5945a2f6ffbc7295d6b002cdff50bd717c3f33296cdcd6c30a9bf614ad6
NEIROUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-11.zip,512f8867aace0aef0a58c11d48f5e9ed41122f506cc9f02b8eb01d0717e488ff
NEIROUSDT,2026-06-12,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-12.zip,3a2708f17d0fffb39224751644161f752453250c9f79bf044140848dce3041a8
NEIROUSDT,2026-06-13,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDT/NEIROUSDT-aggTrades-2026-06-13.zip,71281dd974788bc12ed0bd06c02e69b6f4d9e6839b99648ee1e472c732cf87cc
NEIROUSDC,2026-06-07,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-07.zip,9b05aec8a33ab48181d09b729db98c92c0793bc4613505bb5762b12732654c16
NEIROUSDC,2026-06-08,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-08.zip,d192ad76928120590d05b53c35f2cc8afe809d7fc10800107b8f8bc9ed39d9b4
NEIROUSDC,2026-06-09,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-09.zip,cae99aca0f17c51cb496d4c61f434853b07dfd956ec1f00e444afb3719194e91
NEIROUSDC,2026-06-10,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-10.zip,3b888e092cebbfa48f7f385a1e15d3e782df4d329c20925a5850600b67cc246f
NEIROUSDC,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-11.zip,1152e5cc5d3509b7c63359a7c9267d0af112c5a556aeff7e5b297cb03951ac02
NEIROUSDC,2026-06-12,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-12.zip,dc549cbdacf2b2530f46afb48a81ba2e9363ae39276cdb5d573f418eff1b473d
NEIROUSDC,2026-06-13,https://data.binance.vision/data/spot/daily/aggTrades/NEIROUSDC/NEIROUSDC-aggTrades-2026-06-13.zip,80dcf56872e258d4cb5c11b767c03b7d738cc28add074fb0aa9d2e520fe06c34
